Key,ru,en,de,fr,tr,es,ja,zh,id
Tut_start_2,"Так же можно встретить волшебные леденцы, за их сбор ты получишь 12 Сахара","You can also find magic candies, for collecting them you will receive 12 Sugar","Sie können auch magische Süßigkeiten finden, für das Sammeln erhalten Sie 12 Zucker","Vous pouvez également trouver des bonbons magiques, en les collectant, vous recevrez 12 sucres","Ayrıca sihirli şekerler de bulabilirsiniz, onları topladığınızda 12 Şeker kazanırsınız","También podrás encontrar caramelos mágicos, por recolectarlos recibirás 12 Azúcares",魔法のキャンディーも見つかります。集めると12個の砂糖がもらえます。,您還可以找到魔法糖果，收集它們將獲得 12 顆糖,"Anda juga dapat menemukan permen ajaib, untuk mengumpulkannya Anda akan menerima 12 Gula"
Tut_start_3,"Иногда попадаются звездочки - собирай их быстрее, это самый редкий ресурс","Sometimes you come across stars - collect them quickly, this is the rarest resource","Manchmal stößt man auf Sterne – sammle sie schnell, das ist die seltenste Ressource","Parfois, vous tombez sur des étoiles - collectez-les rapidement, c'est la ressource la plus rare","Bazen yıldızlarla karşılaşırsınız - onları hemen toplayın, bu en nadir kaynaktır","A veces te encuentras con estrellas: recógelas rápidamente, es el recurso más raro.",時々星に出会うことがあります - 素早く集めてください。これは最も希少な資源です,有時你會遇到星星——快速收集它們，這是最稀有的資源,"Terkadang Anda menemukan bintang - kumpulkan dengan cepat, ini adalah sumber daya yang paling langka"
Tut_start_4,Бомбочки - самые частые препятствия. Если заденешь - проиграешь,"Bombs are the most common obstacle. If you hit one, you lose.","Bomben stellen das häufigste Hindernis dar. Wenn Sie eine treffen, verlieren Sie.","Les bombes sont l'obstacle le plus courant. Si vous en touchez une, vous perdez.",Bombalar en sık karşılaşılan engellerden biridir. Birine çarparsanız kaybedersiniz.,"Las bombas son el obstáculo más común. Si chocas con una, pierdes.",最も一般的な障害物は爆弾です。爆弾に当たると負けになります。,炸彈是最常見的障礙物。如果你擊中一個，你就輸了。,"Bom adalah rintangan yang paling umum. Jika terkena bom, Anda kalah."
Tut_start_5,"Жучки и паучки - такие же как и бомбочки, но передвигаются влево и вправо","Bugs and spiders are the same as bombs, but they move left and right.","Käfer und Spinnen sind dasselbe wie Bomben, aber sie bewegen sich nach links und rechts.","Les insectes et les araignées sont les mêmes que les bombes, mais ils se déplacent à gauche et à droite.","Böcekler ve örümcekler bombalarla aynıdır, ancak sola ve sağa hareket ederler.","Los insectos y las arañas son lo mismo que las bombas, pero se mueven de izquierda a derecha.",虫やクモも爆弾と同じですが、左右に移動します。,蟲子和蜘蛛與炸彈相同，但它們左右移動。,"Serangga dan laba-laba sama seperti bom, tetapi mereka bergerak ke kiri dan kanan."
Tut_start_6,"Шипы - самые безопасные препятствия. 
Через них можно пролететь вверх, но падать на них - нельзя","Spikes are the safest obstacles.
You can fly up through them, but you can't fall on them.","Stacheln sind die sichersten Hindernisse.
Man kann durch sie hindurchfliegen, aber nicht darauf fallen.","Les pics sont les obstacles les plus sûrs. On peut voler à travers, mais on ne peut pas tomber dessus.","Dikenli teller en güvenli engellerdir.
Üzerlerinden uçarak geçebilirsiniz, ancak üzerlerine düşemezsiniz.","Los picos son los obstáculos más seguros. Puedes volar a través de ellos, pero no puedes caer sobre ellos.","スパイクは最も安全な障害物です。
飛び越えることはできますが、落ちることはできません。","尖刺是最安全的障礙物。
你可以飛過去，但不會掉下去。","Paku adalah rintangan yang paling aman.
Kamu bisa terbang melewatinya, tapi kamu tidak bisa jatuh di atasnya."
,,,,,,,,,
,,,,,,,,,
Tut_merge2_1,"В этом режиме, твоя задача скидывать сверху вниз лабубу для объединения одинаковых. За каждое ебъединение ты получаешь очки и 3 Сахара, иногда лабубу могут держать звездочки - не забывай их собирать Если лабубу будут выпадать из стакана, то игра закончится. 

Набери больше всех очков и соедени собери всех лабубу

Удачи!","In this mode, your task is to throw Labubus down from top to bottom to match identical ones. For each match, you get points and 3 Sugars. Sometimes Labubus can be held by stars—don't forget to collect them. If Labubus fall out of the glass, the game is over.

Score the most points and match all the Labubus.

Good luck!","In diesem Modus musst du Labubus von oben nach unten werfen, um identische Labubus zu kombinieren. Für jede Kombination erhältst du Punkte und 3 Zucker. Manchmal werden Labubus von Sternen gehalten – vergiss nicht, sie einzusammeln. Wenn Labubus aus dem Glas fallen, ist das Spiel vorbei.

Erziele die meisten Punkte und kombiniere alle Labubus.

Viel Glück!","Dans ce mode, votre objectif est de lancer des Labubus de haut en bas pour aligner les Labubus identiques. Chaque alignement vous rapporte des points et 3 sucres. Parfois, les Labubus peuvent être retenus par des étoiles ; n'oubliez pas de les récupérer. Si les Labubus tombent du verre, la partie est terminée.

Marquez le plus de points et associez tous les Labubus.

Bonne chance !","Bu modda göreviniz, aynı Labubus'ları eşleştirmek için yukarıdan aşağıya doğru fırlatmaktır. Her eşleşmede puan ve 3 Şeker kazanırsınız. Bazen Labubus'lar yıldızlar tarafından tutulabilir; onları toplamayı unutmayın. Labubus'lar camdan düşerse oyun biter.

En çok puanı toplayın ve tüm Labubus'ları eşleştirin.

Bol şans!","En este modo, tu tarea es lanzar Labubus de arriba abajo para unir los idénticos. Por cada combinación, obtienes puntos y 3 Azúcares. A veces, los Labubus pueden estar sujetos por estrellas; no olvides recogerlas. Si los Labubus se caen del vaso, se termina el juego.

Consigue la mayor cantidad de puntos y une todos los Labubus.

¡Mucha suerte!","このモードでは、ラビュバスを上から下へ投げて、同じラビュバスを揃えます。揃えるごとにポイントとシュガー3個を獲得できます。ラビュバスは星に捕まっていることもあるので、忘れずに集めましょう。ラビュバスがガラスから落ちてしまうとゲームオーバーです。

最高得点を獲得し、すべてのラビュバスを揃えましょう。

頑張ってください！","在這個模式中，你的任務是將拉布布從上到下扔下，使相同的拉布布匹配。每配對一次，你將獲得積分和3顆糖。有時，拉布布會被星星抓住──別忘了收集星星。如果拉布布從玻璃杯中掉出來，遊戲就結束了。

獲得最高積分，並匹配所有拉布布。

祝你好運！","Dalam mode ini, tugasmu adalah melempar Labubus dari atas ke bawah untuk mencocokkan Labubus yang identik. Untuk setiap pertandingan, kamu mendapatkan poin dan 3 Gula. Terkadang Labubus bisa dipegang oleh bintang—jangan lupa untuk mengumpulkannya. Jika Labubus jatuh dari kaca, permainan berakhir.

Kumpulkan poin terbanyak dan cocokkan semua Labubus.

Semoga berhasil!"
,,,,,,,,,
TASKS,ЗАДАНИЯ,TASKS,AUFGABEN,TÂCHES,GÖREVLER,TAREAS,タスク,任務,TUGAS
ENTRANCE,ВХОД,ENTRANCE,EINGANG,ENTRÉE,GİRİŞ,ENTRADA,入り口,入口,PINTU MASUK
ROOMS,КОМНАТЫ,ROOMS,ZIMMER,CHAMBRES,ODALAR,ALOJAMIENTO,客室,房間,KAMAR
ALBUM,АЛЬБОМ,ALBUM,ALBUM,ALBUM,ALBÜM,ÁLBUM,アルバム,專輯,ALBUM
,,,,,,,,,
OpenImageChests2,Открыть 1 сундук с образами,Open 1 chest with images,Öffne 1 Truhe mit Bildern,Ouvrir 1 coffre avec des images,Resimli 1 sandığı açın,Abre 1 cofre con imágenes,画像付きの宝箱を1つ開ける,打開 1 個帶有圖像的箱子,Buka 1 peti dengan gambar
CollectSugar900,Собрать 900 Сахара,Collect 900 Sugar,Sammle 900 Zucker,Récupérez 900 sucres,900 Şeker topla,Recoge 900 azúcares,砂糖900個を集める,收集900糖,Kumpulkan 900 Gula
CompleteAllTasks,Выполнить все задания,Complete all tasks,Erledige alle Aufgaben,Accomplir toutes les tâches,Tüm görevleri tamamlayın,Completar todas las tareas,すべてのタスクを完了する,完成所有任務,Selesaikan semua tugas
PlayGames3Points20,"Сыграть 3 игры, набрав больше 60 очков",Play 3 games and score more than 60 points,Spiele 3 Spiele und erziele mehr als 60 Punkte,Jouez 3 parties et marquez plus de 60 points,3 oyun oyna ve 60 puandan fazla puan al,Juega 3 partidos y consigue más de 60 puntos.,3ゲームをプレイして60ポイント以上を獲得する,參加3場比賽並得分超過60分,Mainkan 3 permainan dan dapatkan lebih dari 60 poin
DAILY ENTRY,ЕЖЕДНЕВЫЙ ВХОД,DAILY ENTRY,TÄGLICHER EINTRITT,ENTRÉE QUOTIDIENNE,GÜNLÜK GİRİŞ,ENTRADA DIARIA,毎日のエントリー,每日入場,ENTRI HARIAN
MODES,РЕЖИМЫ,MODES,MODI,MODES,MODLAR,MODOS,モード,模式,MODE
Classical,Классический,Classical,Klassisch,Classique,Klasik,Clásico,クラシック,古典,Klasik
Merger,Слияние,Merger,Fusion,Fusionnement,Birleşme,Fusión,合併,合併,Penggabungan
Pencil,Карандаш,Pencil,Bleistift,Crayon,Kalem,Lápiz,鉛筆,鉛筆,Pensil
Eraser,Ластик,Eraser,Radiergummi,Gomme,Silgi,Borrador,消しゴム,橡皮,Penghapus
Clean up,Отчистить,Clean up,Aufräumen,Nettoyer,Temizlemek,Limpiar,掃除,清理,Membersihkan
End of the game,Конец игры,End of the game,Spielende,Fin du jeu,Oyunun sonu,Fin del juego,ゲームの終わり,遊戲結束,Akhir permainan
Score,Очки,Score,Punktzahl,Score,Gol,Puntaje,スコア,分數,Skor
Retry,Заново,Retry,Wiederholen,Réessayer,Tekrar dene,Rever,リトライ,重試,Mencoba kembali
